startX,startY,startZ,endX,endY,endZ,cyl_ID,parent_ID,axis_ID,branch_order,radius,length,volume,subtree_length
216726.385,5199919.896,195.589,216726.362,5199919.815,195.604,163,162,1730,3,0.003,0.086,0.00000,0.088
216726.362,5199919.815,195.604,216726.349,5199919.820,195.521,164,163,1731,4,0.002,0.084,0.00000,0.000
216726.750,5199920.936,195.811,216726.818,5199921.013,195.883,165,149,1732,3,0.003,0.126,0.00000,0.107
216726.818,5199921.013,195.883,216726.894,5199921.084,195.940,166,165,1732,3,0.002,0.118,0.00000,0.000
216726.085,5199921.073,196.058,216726.071,5199921.082,196.155,167,138,3127,2,0.128,0.098,0.00509,16.614
216727.355,5199919.968,195.952,216727.439,5199919.986,195.932,168,146,3116,3,0.008,0.089,0.00002,1.124
216727.439,5199919.986,195.932,216727.516,5199920.009,195.910,169,168,3116,3,0.007,0.083,0.00001,1.063
216727.516,5199920.009,195.910,216727.597,5199920.039,195.904,170,169,3116,3,0.007,0.087,0.00001,0.985
216727.597,5199920.039,195.904,216727.667,5199920.070,195.931,171,170,3116,3,0.006,0.082,0.00001,0.885
216727.667,5199920.070,195.931,216727.714,5199920.049,195.839,172,171,3117,4,0.003,0.105,0.00000,0.205
216726.163,5199920.495,195.797,216726.068,5199920.570,195.889,173,153,1727,3,0.006,0.151,0.00001,0.639
216726.068,5199920.570,195.889,216726.005,5199920.551,195.943,174,173,1727,3,0.005,0.085,0.00001,0.559
216726.005,5199920.551,195.943,216725.948,5199920.514,195.989,175,174,1727,3,0.005,0.083,0.00001,0.472
216727.256,5199919.937,195.951,216727.461,5199919.967,195.815,176,145,3122,4,0.002,0.247,0.00000,0.000
216726.085,5199921.073,196.058,216725.892,5199921.062,196.041,177,138,3645,3,0.005,0.194,0.00001,0.555
216726.071,5199921.082,196.155,216726.058,5199921.092,196.252,178,167,3127,2,0.129,0.098,0.00515,16.515
216726.058,5199921.092,196.252,216726.046,5199921.103,196.349,179,178,3127,2,0.131,0.099,0.00531,16.417
216726.046,5199921.103,196.349,216726.036,5199921.115,196.446,180,179,3127,2,0.134,0.098,0.00555,16.318
216726.068,5199920.570,195.889,216726.229,5199920.512,195.987,181,173,1729,4,0.002,0.197,0.00000,0.000
216727.286,5199921.074,196.211,216727.531,5199921.164,196.240,182,130,1723,2,0.002,0.263,0.00001,0.000
